01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;24:00:00
52886;50718;49118;48065;47471;45700;41857;42612;46062;49260;51823;54604;53330;50921;49168;48273;47806;49270;55094;58255;56340;55851;57929;55418
53462;51666;50782;50262;50955;53736;59112;63715;66296;66798;67557;68707;68105;67689;66819;65668;64097;64032;67815;70265;66512;64035;63299;59556
57354;55510;54297;54025;54454;56531;60941;64967;66900;67125;67985;68676;67751;67500;66471;65208;63738;63989;67417;70098;66863;64355;63217;59409
56639;54576;53282;53119;53776;56003;60807;65000;67255;67311;68094;69339;68756;68301;67309;66581;65206;65623;68898;70570;66642;64318;62892;58679
55703;53496;52297;52295;53053;54991;60236;64829;67443;67766;68658;69769;69350;68885;68054;67087;65642;65855;68590;69983;66444;64066;63132;58797
56180;53979;52985;52950;53434;55188;59936;64457;67088;67529;68222;69233;68788;67186;66033;65061;64060;64413;67260;68144;63836;61608;61238;57897
54799;52775;51365;50750;50445;49139;47102;49551;53516;56614;57782;58403;57005;54927;53316;52596;51889;53221;56498;58931;55332;53564;54475;51978
49543;47276;46199;45554;45215;43613;39856;41335;44937;48038;50370;52609;50945;48327;46434;45341;45196;47453;52242;56353;54280;53646;54899;51371
48589;46618;46055;46781;48392;51721;57194;62462;65319;65946;66936;68262;67774;67009;65818;64492;62914;62676;65492;68947;64808;62205;60431;55624
52362;50315;49099;49496;50769;53328;58192;63569;66326;66871;67775;68855;68024;67355;66360;65296;63747;64033;66391;68684;64905;62175;60544;55847
52384;50328;49571;49577;50847;53450;58469;64008;65991;66332;67236;68271;68007;67192;66272;65133;63410;63360;65659;68701;65458;63077;61450;56581
53287;51338;50787;50765;51879;54080;58187;62959;64972;65176;66025;67187;66325;65625;64693;63411;61703;61914;64130;68065;64803;62127;60477;56097
53291;51483;50333;50682;51643;53673;57749;62611;65135;65737;66687;67818;67011;65638;64355;63228;62194;62505;64801;66653;62406;59387;58419;54409
50193;47642;46228;45920;46429;45983;44581;47991;52433;55492;57123;58351;56806;54740;52818;52051;51115;52486;55591;57685;54034;51770;51808;47976
44014;41445;;40535;40714;40985;39301;39120;42213;46554;50059;52906;52347;50033;48104;46659;45487;45662;48220;50847;53822;52618;53050;49117
44819;42126;40870;41370;43797;47913;56375;61656;64578;65297;66757;68157;67056;66452;65174;63947;61625;61342;62240;62875;63412;61177;58317;53651
49708;47236;46459;46872;48365;51684;58591;63900;66474;66779;68011;69359;68407;67409;66336;64684;62806;62090;61963;62794;63862;61028;58013;53380
49107;46779;46181;46792;48393;51480;58614;63493;66102;66676;67526;69381;68638;67871;66592;65469;63595;62559;62170;62678;63676;61113;58394;53580
49868;47564;46492;47159;48754;51605;58633;63805;66569;67303;68918;70270;69606;69181;67770;66579;64967;64097;63670;64440;64795;62091;59633;54144
49822;47151;45802;46582;48094;51576;58261;63838;66755;67212;68153;69322;68420;66973;65124;63818;62300;61848;61708;61753;62562;60353;58253;53988
49582;46789;45099;45110;45928;45948;45907;47786;51969;55194;56538;57230;55844;54201;52443;51494;51029;51637;52194;52704;53599;51920;51261;47854
43854;41026;39824;39564;40390;40245;38707;39552;42963;46011;48807;51906;51407;49555;47452;46518;46045;47295;48952;50706;53320;52772;52385;48421
44722;42507;41919;42639;44271;48567;56745;62150;64879;65817;67331;68886;68519;67898;66847;65891;64094;63566;63412;63391;64272;61860;58766;53851
49724;47494;46710;47504;48888;52140;58530;63394;65991;66224;67317;68523;67580;67035;66030;64663;62726;62305;61902;62419;63832;61776;59236;54133
49943;47898;46797;47411;48980;52225;58546;63643;66050;66641;67957;69266;68309;67741;66475;65116;63332;62816;62476;62657;63751;61742;59700;54943
51640;49584;48657;49126;50503;53041;58992;63321;65264;65549;66095;67199;66690;65728;64346;63201;61950;61727;61733;61615;63375;61716;59312;54570
50753;48390;47428;47814;49322;52419;58580;63108;65451;65606;66094;66648;65290;63761;61866;60250;59247;59293;59138;59242;60233;58625;56730;52938
49070;46827;45238;45214;46259;46380;46008;48129;51609;54303;55643;56404;55394;53660;51990;51145;50577;50977;51460;51450;52124;51076;50125;46965
43315;40514;39124;39159;39700;39761;38158;39138;42748;46664;49724;52790;52057;49929;47931;46852;46290;47018;48494;49042;51020;51183;51634;48271
44830;42589;42016;42770;44651;48306;54839;60605;64440;65576;67104;68513;67915;66947;65685;64223;62632;61966;61982;61875;62594;61220;58801;54274
50648;48587;48053;48459;49931;52371;57227;62043;65113;65791;66965;67957;66790;65804;64575;63170;61448;60906;60962;61232;62085;60377;58254;53176
49375;47237;46473;46734;48135;50751;56285;61588;65239;66469;67998;68990;67848;66804;65629;64054;62499;62062;61696;61514;62105;61002;58875;54225
50645;48092;47280;47768;49225;51536;56300;61036;64396;65710;67153;68674;67961;66888;65855;64992;63318;62452;62296;61648;60853;58439;55987;51715
48337;45723;44498;43893;44107;42927;40400;41305;44311;47863;50624;53539;53208;50758;48758;47072;46065;46681;47523;47777;48803;49474;49559;46208
42352;40691;39965;40126;40863;40830;39520;41659;45566;48517;49585;50432;49772;48254;47176;46797;46518;47605;48315;48590;48809;48138;47394;44006
40198;37383;35816;35118;35675;35969;34345;35614;39587;43009;45519;48183;46634;43640;42102;40940;39965;40523;42780;43704;45490;46479;46326;43254
39439;36764;35392;35331;36267;36697;35202;35936;39110;42344;44754;47371;46592;44535;42581;42199;42075;43123;44651;45216;46713;47927;48360;45232
41757;39729;39649;40223;42284;45983;52165;57800;61444;63216;64667;66151;65172;64509;63366;62495;60849;60334;60325;59834;59655;59153;56584;51381
47262;45062;44373;44947;46804;49887;54586;59826;63022;63848;64591;65691;64757;63747;62502;61323;59801;59555;59781;59685;59933;59375;56609;51192
47390;45231;44324;44764;46489;50110;54698;59635;62588;63229;64386;65651;64710;63620;62428;60885;59450;59228;59470;59267;60003;59371;56196;50692
46678;44345;43330;43700;45362;48764;54168;59617;62719;63518;64376;65347;64191;62232;60329;58866;57624;57643;57762;57110;57404;57072;54133;49344
45638;43017;41649;41248;41808;42765;43440;46674;50872;53839;55262;56444;54890;52358;50146;49289;48492;49285;49965;50081;50196;50194;48851;45125
41461;38609;37379;37397;38056;38145;36416;38018;41553;45027;47516;50061;48855;45755;43844;42553;42395;43553;45717;46522;48195;49706;49059;44882
41825;39985;39693;40363;42457;46840;54122;59999;63272;63913;64892;66215;65197;64517;63061;61683;59758;59218;59317;58853;58962;59347;55052;49411
45883;43826;42661;43027;44767;48507;55570;61177;63913;64125;64989;65987;65211;64319;63158;62013;60547;60203;59934;59795;59571;58635;54715;49145
45067;42770;41725;42131;43651;47914;55150;61300;64459;65153;66386;67790;66628;65702;64369;63083;61530;61507;61643;60848;60384;59405;55400;49553
45396;43215;42352;42607;44345;48099;55326;61797;64634;65390;66409;67706;66259;66109;64746;63729;62290;62066;61864;61386;60528;59463;55968;50997
46485;44126;42964;43516;45395;48980;55731;61608;64690;65029;65770;66749;65370;63589;62162;60603;59509;59714;59595;58977;58182;57732;55050;50659
46963;44033;42578;42886;43696;43792;43624;46734;50896;53806;55318;56211;54743;52391;50520;49746;49211;50232;50908;50849;50065;50734;49756;46507
42284;39753;38677;38645;39056;38580;36779;38114;41490;44671;46906;49787;48354;45573;43593;42434;41864;43018;44738;44991;45120;46782;46461;43263
